GameIndex,AwayTeam,HomeTeam,AwayPlay,HomePlay,PlayStartTime,PlayEndTime,Make,PlayType,ScoreDifference,ActualDecisionO,OptimalDecisionO,OptimalWP,ActualWP,ETM,ActualDecisionD,OptimalDecisionD,OptimalWPD,ActualWPD,DETM
9,OKC,ORL,0,1,39,32,0,2,-1,2,3,0.438230225,0.42950025,0.008729975,0,0,0.438230225,0,0
9,OKC,ORL,1,0,20,8,1,2,1,2,2,0.968950772,0.809162005,0.159788767,0,5,0.82594608,0.968950772,0.143004692
9,OKC,ORL,0,1,8,0,1,3,-3,3,3,0.152076711,0.123663992,0.028412719,0,0,0.152076711,0,0
10,OKC,ORL,1,0,175,158,1,2,3,2,2,0.800539194,0.798587588,0.001951606,0,0,0.800539194,0,0
10,OKC,ORL,0,1,158,139,0,2,-5,2,3,0.163310723,0.145352885,0.017957838,0,0,0.163310723,0,0
10,OKC,ORL,1,0,137,122,0,3,5,3,2,0.909548344,0.904301477,0.005246867,0,0,0.909548344,0,0
10,OKC,ORL,0,1,121,114,1,2,-5,2,3,0.142361734,0.132809814,0.009551921,0,0,0.142361734,0,0
10,OKC,ORL,1,0,114,95,1,2,3,2,2,0.826963577,0.824189221,0.002774357,0,0,0.826963577,0,0
10,OKC,ORL,0,1,95,85,0,5,-5,2,2,0.931598752,0.928597417,0,5,0,0.931598752,0.944819622,0
10,OKC,ORL,0,1,85,85,0,0,-5,3,3,0.117582389,0.102282621,0.015299768,0,0,0.117582389,0,0
10,OKC,ORL,1,0,85,69,0,2,5,2,2,0.938391271,0.938138043,0.000253228,0,0,0.938391271,0,0
10,OKC,ORL,0,1,68,61,0,2,-5,2,3,0.103349559,0.092543125,0.010806433,0,0,0.103349559,0,0
10,OKC,ORL,1,0,60,43,0,2,5,2,2,0.960151845,0.958379572,0.001772273,0,0,0.960151845,0,0
10,OKC,ORL,0,1,41,36,1,3,-5,3,3,0.074682794,0.073661701,0.001021092,0,0,0.074682794,0,0
10,OKC,ORL,1,0,29,16,0,2,2,2,2,0.937211229,0.87281097,0.06440026,0,5,0.883103768,0.937211229,0.054107461
10,OKC,ORL,0,1,13,10,0,5,-2,2,2,0.99821602,0.901726011,0,5,5,0.933104757,0.946248856,0.0131441
10,OKC,ORL,0,1,10,9,0,5,-2,2,2,0.99821602,0.907712279,0,5,5,0.946248856,0.951018325,0.004769469
10,OKC,ORL,1,0,9,7,0,5,4,3,3,0.075693489,0.06855204,0,5,0,0.075693489,0.058275234,0
10,OKC,ORL,0,1,7,6,0,5,-2,2,2,0.99821602,0.928797011,0,5,5,0.961208398,0.966645677,0.005437279
10,OKC,ORL,0,1,6,3,0,3,-3,3,3,0.145391631,0.134028557,0.011363074,0,5,0.138722507,0.145391631,0.006669124
10,OKC,ORL,0,1,3,2,0,3,-3,3,3,0.134028557,0.130001527,0.00402703,0,5,0.106165842,0.134028557,0.027862714
11,WAS,MIL,0,1,172,157,1,2,-3,2,3,0.297229137,0.28838952,0.008839618,0,0,0.297229137,0,0
11,WAS,MIL,1,0,157,142,1,3,1,3,2,0.650417877,0.644695533,0.005722345,0,0,0.650417877,0,0
11,WAS,MIL,0,1,142,125,0,3,-4,3,3,0.211229387,0.202757834,0.008471553,0,0,0.211229387,0,0
11,WAS,MIL,1,0,124,120,1,3,4,3,2,0.872019348,0.854378585,0.017640764,0,0,0.872019348,0,0
11,WAS,MIL,0,1,120,112,1,2,-7,2,3,0.065860131,0.060669081,0.00519105,0,0,0.065860131,0,0
11,WAS,MIL,1,0,112,88,1,3,5,3,2,0.919040592,0.909139352,0.009901241,0,0,0.919040592,0,0
11,WAS,MIL,0,1,88,78,1,2,-8,2,3,0.031878812,0.027953685,0.003925127,0,0,0.031878812,0,0
11,WAS,MIL,1,0,78,54,0,0,6,2,2,0.964643217,0.96443459,0.000208627,0,0,0.964643217,0,0
11,WAS,MIL,0,1,54,47,0,3,-6,3,3,0.053075236,0.053058346,1.69E-05,0,0,0.053075236,0,0
11,WAS,MIL,1,0,47,47,0,5,6,3,3,0.047060079,0.042224086,0,5,0,0.047060079,0.056814269,0
11,WAS,MIL,0,1,47,24,0,5,-5,2,2,0.973873559,0.973311355,0,5,5,0.965969176,0.98460382,0.018634644
11,WAS,MIL,0,1,24,20,0,3,-6,3,3,0.031439461,0.026936304,0.004503157,0,0,0.031439461,0,0
11,WAS,MIL,0,1,19,19,0,5,-6,2,2,0.999999984,0.991525979,0,5,5,0.994749769,0.994749769,0
11,WAS,MIL,0,1,19,12,1,3,-7,3,3,0.012384244,0.007202139,0.005182105,0,0,0.012384244,0,0
11,WAS,MIL,1,0,12,12,0,5,4,3,3,0.083104359,0.083104359,0,5,0,0.083104359,0.081003629,0
11,WAS,MIL,0,1,12,10,0,5,-3,2,2,0.999896832,0.955018287,0,5,5,0.969206824,0.974801974,0.00559515
11,WAS,MIL,0,1,10,4,0,2,-5,2,3,0.034233636,0.008516601,0.025717035,0,0,0.034233636,0,0
12,SAC,LAC,1,0,173,166,0,5,-5,2,2,0.894064425,0.890156544,0,5,0,0.894064425,0.906579895,0
12,SAC,LAC,1,0,166,139,1,3,-6,3,3,0.121842255,0.084638675,0.03720358,0,0,0.121842255,0,0
12,SAC,LAC,1,0,139,133,0,5,-3,2,2,0.809831585,0.801834913,0,5,0,0.809831585,0.831339968,0
12,SAC,LAC,1,0,133,112,0,2,-4,2,3,0.208334063,0.179866312,0.028467751,0,0,0.208334063,0,0
12,SAC,LAC,1,0,112,109,0,2,-4,2,3,0.195204153,0.177819853,0.0173843,0,0,0.195204153,0,0
12,SAC,LAC,1,0,109,106,1,2,-4,2,3,0.193189598,0.175735189,0.017454409,0,0,0.193189598,0,0
12,SAC,LAC,1,0,106,106,0,5,-2,2,2,0.754568092,0.721018632,0,5,0,0.754568092,0.778834674,0
12,SAC,LAC,0,1,106,106,0,5,2,3,3,0.35419821,0.315768945,0,5,0,0.35419821,0.390847038,0
12,SAC,LAC,1,0,106,96,0,5,-3,2,2,0.827885718,0.825238613,0,5,0,0.827885718,0.850957012,0
12,SAC,LAC,1,0,96,84,0,0,-5,3,3,0.126289676,0.125490961,0.000798716,0,0,0.126289676,0,0
12,SAC,LAC,0,1,84,74,0,0,5,2,2,0.936986883,0.933456284,0.003530599,0,0,0.936986883,0,0
12,SAC,LAC,1,0,74,71,1,2,-5,2,3,0.109102544,0.095925867,0.013176677,0,0,0.109102544,0,0
12,SAC,LAC,0,1,71,47,0,2,3,2,2,0.859669089,0.852429321,0.007239767,0,0,0.859669089,0,0
12,SAC,LAC,1,0,45,38,0,3,-3,3,3,0.212764716,0.209785552,0.002979164,0,0,0.212764716,0,0
12,SAC,LAC,1,0,37,18,0,5,-3,2,2,0.933378056,0.925252943,0,5,5,0.912486616,0.950952182,0.038465566
12,SAC,LAC,1,0,18,16,1,2,-5,2,3,0.051579304,0.03486931,0.016709993,0,0,0.051579304,0,0
12,SAC,LAC,1,0,16,9,0,5,-3,2,2,0.999897925,0.959382099,0,5,5,0.956055279,0.97588116,0.019825881
12,SAC,LAC,1,0,9,3,0,2,-5,2,3,0.032819002,0.005994098,0.026824904,0,0,0.032819002,0,0
12,SAC,LAC,1,0,2,1,0,2,-5,2,3,0.010307588,0.001378415,0.008929173,0,0,0.010307588,0,0
13,ORL,CHI,1,0,171,154,0,3,-4,3,3,0.228284051,0.220068419,0.008215632,0,0,0.228284051,0,0
13,ORL,CHI,0,1,153,142,0,3,4,3,2,0.858214033,0.855869083,0.00234495,0,0,0.858214033,0,0
13,ORL,CHI,1,0,141,137,0,0,-4,3,3,0.212293026,0.202608216,0.00968481,0,0,0.212293026,0,0
13,ORL,CHI,0,1,137,124,0,3,4,3,2,0.86513482,0.863276277,0.001858544,0,0,0.86513482,0,0
13,ORL,CHI,0,1,123,116,0,2,4,2,2,0.872222459,0.86654423,0.005678229,0,0,0.872222459,0,0
13,ORL,CHI,0,1,115,115,0,2,4,2,2,0.876794474,0.855991052,0.020803423,0,0,0.876794474,0,0
13,ORL,CHI,1,0,114,114,0,0,-4,3,3,0.195849095,0.171789055,0.02406004,0,0,0.195849095,0,0
13,ORL,CHI,1,0,114,114,0,5,-4,2,2,0.877396136,0.856514733,0,5,0,0.877396136,0.897622197,0
13,ORL,CHI,0,1,114,99,0,2,4,2,2,0.877396136,0.877386909,9.23E-06,0,0,0.877396136,0,0
13,ORL,CHI,1,0,99,89,0,2,-4,2,3,0.185486551,0.173638694,0.011847857,0,0,0.185486551,0,0
13,ORL,CHI,1,0,89,89,0,5,-4,2,2,0.895137386,0.871695285,0,5,0,0.895137386,0.911600239,0
